main_theme,sub_theme,chain_position,second_level,third_level,research_priority,cross_theme_overlap,industry_logic,key_metrics_to_collect,representative_companies_initial,catalysts_to_track,risks_to_track,notes_for_codex
AI算力硬件,高速光模块,中游核心,光通信/CPO,400G/800G/1.6T/3.2T光模块,P0,否,AI训练与推理集群带动数据中心高速互联升级，是当前AI硬件链最强兑现环节之一。,800G/1.6T收入占比；海外CSP客户；订单可见度；产能利用率；毛利率；单价趋势；2026E/2027E利润增速；PE/PEG；近1/3/6月涨幅；成交额分位。,中际旭创、新易盛、天孚通信、剑桥科技、光迅科技、华工科技、太辰光、博创科技,海外云厂CAPEX；800G/1.6T批量交付；CPO/LPO/NPO进展；英伟达/博通/Marvell产业链催化。,估值拥挤；低速产品价格战；海外客户集中；订单低于预期；技术路线切换。,
AI算力硬件,CPO/NPO/LPO/硅光,中游/新技术,光通信/CPO,共封装光学、近封装光学、线性驱动光模块、硅光集成,P0,否,高速互联从可插拔向更低功耗、更高密度方案演进，可能形成下一轮光通信技术溢价。,技术路线验证状态；客户测试进展；样品/小批量/量产阶段；单位功耗；成本结构；专利/产品；收入占比。,中际旭创、新易盛、天孚通信、光迅科技、源杰科技、仕佳光子、博创科技,1.6T/3.2T节点；CPO交换机进展；头部云厂/芯片厂产品发布。,产业化节奏慢；技术路线不确定；主题先于业绩；估值提前透支。,
AI算力硬件,光芯片/激光器/探测器,上游核心,光通信上游,DFB/EML/VCSEL/硅光芯片/PD/APD,P0,半导体材料/器件交叉,国产化和高端速率升级共同驱动，但高端光芯片验证周期长、客户门槛高。,10G/25G/50G/100G单通道能力；EML/硅光进展；客户认证；毛利率；国产替代率；海外收入；研发投入。,源杰科技、仕佳光子、长光华芯、光迅科技、华工科技、腾景科技,高端光芯片国产替代；硅光量产；海外限制带来的国产供应链机会。,高端产品认证不及预期；低端产品价格战；收入体量小。,
AI算力硬件,光器件/FAU/精密光学,上游/中游配套,光通信上游,FAU、MPO/MTP、陶瓷插芯、透镜、隔离器、耦合组件,P1,否,高速光模块出货放量带动精密光器件需求，部分环节具有小而美弹性。,单模块价值量；客户绑定；产能扩张；良率；毛利率；订单增速；收入占比。,天孚通信、太辰光、腾景科技、光库科技、杰普特、蓝特光学,光模块出货放量；1.6T/硅光引入更高精度要求。,客户集中；替代风险；个股涨幅过大；实际价值量不足。,
AI算力硬件,高速DSP/SerDes/交换芯片配套,上游芯片,光通信/网络芯片,DSP、SerDes、Retimer、交换芯片、PHY,P1,半导体设计交叉,高速互联瓶颈从光模块延伸到DSP/SerDes/交换芯片，国产替代空间大但难度高。,产品速率；客户导入；国产替代阶段；收入占比；研发投入；毛利率；PS/PE。,裕太微、盛科通信、海光信息、寒武纪、复旦微电、国芯科技（需Codex核实具体暴露）,国产高速接口芯片突破；数据中心交换机升级；AI服务器网络需求。,技术壁垒高；收入确认慢；概念映射不准确；估值过高。,
AI算力硬件,AI服务器PCB高多层板,中游核心,AI PCB,高多层板、服务器主板、GPU基板周边板、加速卡PCB,P0,否,AI服务器单机PCB价值量显著高于传统服务器，高速高层高频材料提升壁垒。,AI服务器PCB收入占比；层数/材料等级；海外客户；产能扩张；订单；毛利率；2026E利润增速；PE/PEG；近6月涨幅。,沪电股份、胜宏科技、深南电路、鹏鼎控股、东山精密、景旺电子、世运电路、方正科技,AI服务器放量；高端交换机升级；海外客户认证；M8/M9材料应用。,估值透支；客户认证不及预期；扩产导致供给上来；材料涨价侵蚀利润。,
AI算力硬件,交换机PCB/背板/HDI,中游核心,AI PCB,高速交换机板、背板、HDI、AnyLayer HDI、通信设备板,P0,通信设备交叉,AI数据中心网络带宽升级带动高速交换机和背板PCB需求，技术壁垒高于普通通信板。,交换机/背板收入占比；客户；层数；材料等级；良率；产能；毛利率；订单。,沪电股份、深南电路、胜宏科技、景旺电子、鹏鼎控股、生益电子,800G/1.6T交换机升级；白盒交换机出货；云厂CAPEX。,需求波动；价格压力；高端材料依赖；估值拥挤。,
AI算力硬件,覆铜板CCL/高速材料,上游材料核心,AI PCB材料,M6/M7/M8/M9 CCL、低Dk/低Df树脂、半固化片PP,P0,化工/电子材料交叉,高速PCB性能由材料决定，高端CCL有望受益于价值量提升和国产替代。,高端CCL占比；M8/M9认证；单价/毛利率；客户结构；产能；原材料成本；利润弹性。,生益科技、南亚新材、华正新材、金安国纪、联瑞新材（填料）,高端材料升级；AI服务器PCB扩产；上游涨价传导。,周期属性；涨价不可持续；中游议价压制；高端认证慢。,
AI算力硬件,HVLP铜箔/电子铜箔,上游材料,AI PCB材料,HVLP、VLP、RTF铜箔，高频高速电子铜箔,P1,铜箔/材料交叉,高速信号完整性要求提升带动高端低轮廓铜箔需求。,HVLP产品进展；客户认证；产能；价格；毛利率；电子铜箔收入占比；传统锂电铜箔拖累。,铜冠铜箔、诺德股份、嘉元科技、德福科技、超华科技（需核实暴露）,AI PCB放量；高端铜箔国产替代；材料涨价。,锂电铜箔周期拖累；高端电子铜箔占比低；认证慢。,
AI算力硬件,低Dk/低Df玻纤布/电子布,上游材料,AI PCB材料,低介电玻纤布、电子纱、电子布,P1,玻纤/材料交叉,高速PCB对低介电玻纤布需求增加，可能带动电子布结构升级。,低Dk产品能力；电子布收入占比；价格；客户；产能；毛利率；与普通玻纤周期区分。,宏和科技、中国巨石、中材科技、泰山玻纤（需核实A股映射与收入暴露）,高端CCL扩产；AI服务器PCB材料升级。,普通玻纤周期拖累；高端占比低；数据披露不足。,
AI算力硬件,PCB设备/耗材,上游设备耗材,AI PCB设备耗材,LDI、曝光、电镀、检测、钻孔、钻针、铣刀,P1,设备交叉,PCB扩产周期带动设备和耗材需求，耗材具备持续性，设备更偏CAPEX。,订单增速；下游扩产客户；耗材复购；毛利率；高端设备占比；出口/国产替代。,大族数控、芯碁微装、鼎泰高科、中钨高新、东威科技、凯格精机、新锐股份,高端PCB扩产；设备国产替代；耗材消耗提升。,扩产周期波动；客户资本开支放缓；设备订单一次性。,
